Stock,Name,Market cap,Currency,Last price,Market cap (GBP bn),Size bucket
AZN.L,AstraZeneca PLC,214048063488,GBp,13802.0,214.048063488,Large
RIO.L,Rio Tinto Group,129579720704,GBp,7968.0,129.579720704,Large
BATS.L,British American Tobacco p.l.c.,99255836672,GBp,4591.0,99.255836672,Large
ULVR.L,Unilever PLC,91067555840,GBp,4205.5,91.06755584,Large
GSK.L,GSK plc,75480154112,GBp,1881.5,75.480154112,Large
GLEN.L,Glencore plc,66520051712,GBp,567.8,66.520051712,Large
BARC.L,Barclays PLC,62064869376,GBp,457.95,62.064869376,Large
LLOY.L,Lloyds Banking Group plc,59233554432,GBp,101.9,59.233554432,Mid
VOD.L,Vodafone Group Public Limited Company,25651359744,GBp,111.4,25.651359744,Mid
EXPN.L,Experian plc,22993698816,GBp,2573.0,22.993698816,Mid
NXT.L,NEXT plc,15085193216,GBp,13215.0,15.085193216,Mid
RTO.L,Rentokil Initial plc,11292883968,GBp,448.8,11.292883968,Mid
SVT.L,Severn Trent PLC,8942441472,GBp,2970.0,8.942441472,Mid
BNZL.L,Bunzl plc,7556702720,GBp,2354.0,7.55670272,Small
MKS.L,Marks and Spencer Group plc,7208995328,GBp,355.9,7.208995328,Small
SBRY.L,J Sainsbury plc,6576175104,GBp,296.3,6.576175104,Small
KGF.L,Kingfisher plc,4821849600,GBp,287.5,4.8218496,Small
BRBY.L,Burberry Group plc,4223243264,GBp,1179.0,4.223243264,Small
WTB.L,Whitbread plc,3919787008,GBp,2348.0,3.919787008,Small
PSN.L,Persimmon Plc,3574402304,GBp,1113.5,3.574402304,Small
